,id,wyckoff_sites,lattice_params,basis_params,lattice_params_value,basis_params_value,pearson_symbol,space_group,prototype
0,hP4-C-194,['f'],"['a', 'c/a']",['z1'],"[2.508, 1.66786283892]",[0.05995],hP4,194,C
1,cP8-Cr3Si-223,"['c', 'a']",['a'],[],[4.556],[],cP8,223,Cr3Si
2,tI18-V4Zn5-139,"['i', 'ah']","['a', 'c/a']","['x2', 'x3']","[8.91, 0.361391694725]","[0.328, 0.348]",tI18,139,V4Zn5
3,tI28-Mn3O4-141,"['ad', 'h']","['a', 'c/a']","['y3', 'z3']","[5.765, 1.63781439722]","[0.0278, 0.2589]",tI28,141,Mn3O4
4,hP14-B5W2-194,"['abdf', 'f']","['a', 'c/a']","['z4', 'z5']","[2.982, 4.651240778]","[0.528, 0.139]",hP14,194,B5W2
5,tP5-O3Pb(Ti0.48)Zr0.52-99,"['bc', 'a', 'b']","['a', 'c/a']","['z1', 'z2', 'z3', 'z4']","[4.046, 1.02308452793]","[0.0, 0.8973, 0.4517, 0.3785]",tP5,99,O3Pb(Ti0.48)Zr0.52
6,tI24-Ga2Hf-141,"['ee', 'e']","['a', 'c/a']","['z1', 'z2', 'z3']","[4.046, 6.28917449333]","[0.125, 0.289, -0.051]",tI24,141,Ga2Hf
7,tP12-O2Si-92,"['b', 'a']","['a', 'c/a']","['x1', 'x2', 'y2', 'z2']","[4.957, 1.39001412144]","[0.3047, 0.2381, 0.1109, 0.1826]",tP12,92,O2Si
8,cP4-AuCu3-221,"['a', 'c']",['a'],[],[3.7402],[],cP4,221,AuCu3
9,oP16-BaS3-18,"['ab', 'ccc']","['a', 'b/a', 'c/a']","['z1', 'z2', 'x3', 'y3', 'z3', 'x4', 'y4', 'z4', 'x5', 'y5', 'z5']","[8.32, 1.15865384615, 0.579326923077]","[0.0, 0.0, 0.25, 0.25, 0.0, 0.25, 0.5, 0.5, 0.124, 0.309, 0.382]",oP16,18,BaS3
10,hR4-CrNaS2-166,"['a', 'b', 'c']","['a', 'c/a']",['x3'],"[3.5561, 5.44557239673]",[0.2667],hR4,166,CrNaS2
11,cP36-BaHg11-221,"['c', 'agij']",['a'],"['x3', 'y4', 'y5']",[9.6],"[0.345, 0.225, 0.115]",cP36,221,BaHg11
