prototype_index,Prototype,Number of Species,Number of Atoms,Pearson Symbol,Strukturbericht Designation,AFLOW Prototype,Space Group Symbol,Space Group Number,Notes
0,C,1,4,hP4,,A_hP4_194_f,P63/mmcP63/mmcP6_{3}/mmc,194,Lonsdaleite (Hexagonal Diamond) Structure
1,Cr3Si,2,8,cP8,A15A15A15,A3B_cP8_223_c_a,Pmˉ3nPm3¯nPm\bar{3}n,223,Cr3Si (A15) Structure
2,V4Zn5,2,9,tI18,,A4B5_tI18_139_i_ah,I4/mmmI4/mmmI4/mmm,139,V4Zn5 Structure
3,Mn3O4,2,14,tI28,,A3B4_tI28_141_ad_h,I41/amdI41/amdI4_{1}/amd,141,Hausmannite (Mn3O4) Structure
4,B5W2,2,14,hP14,D8hD8hD8_{h},A5B2_hP14_194_abdf_f,P63/mmcP63/mmcP6_{3}/mmc,194,W2B5 (D8h) Structure
5,O3Pb(Ti0.48)Zr0.52,3,5,tP5,,A3BC_tP5_99_bc_a_b,P4mmP4mmP4mm,99,Tetragonal PZT [Pb(ZrxTi1–x)O3] Structure
6,Ga2Hf,2,12,tI24,,A2B_tI24_141_2e_e,I41/amdI41/amdI4_{1}/amd,141,Ga2Hf Structure
7,O2Si,2,12,tP12,C30C30C30,A2B_tP12_92_b_a,P41212P41212P4_{1}2_{1}2,92,"αα\alpha–Cristobalite (SiO2, C30C30C30, low) Structure"
8,AuCu3,2,4,cP4,L12L12L1_{2},AB3_cP4_221_a_c,Pmˉ3mPm3¯mPm\bar{3}m,221,Cu3Au (L12) Structure
9,BaS3,2,16,oP16,,AB3_oP16_18_ab_3c,P21212P21212P2_{1}2_{1}2,18,BaS3 Structure
10,CrNaS2,3,4,hR4,F51F51F5_{1},ABC2_hR4_166_a_b_c,Rˉ3mR3¯mR\bar{3}m,166,"Caswellsilverite (CrNaS2, F51) Crystal Structure"
11,BaHg11,2,36,cP36,D2eD2eD2_{e},AB11_cP36_221_c_agij,Pmˉ3mPm3¯mPm\bar{3}m,221,BaHg11 (D2e) Structure
12,O2Si,2,72,mC144,,A2B_mC144_9_24a_12a,CcCcCc,9,Monoclinic (Cc) Low Tridymite (SiO2) Structure
13,AsTi,2,8,hP8,BiBiB_{i},AB_hP8_194_ad_f,P63/mmcP63/mmcP6_{3}/mmc,194,AsTi (Bi) Structure
14,Ca7Ge,2,8,cF32,,A7B_cF32_225_bd_a,Fmˉ3mFm3¯mFm\bar{3}m,225,Ca7Ge Structure
15,Se,1,64,mP64,AkAkA_{k},A_mP64_14_16e,P21/cP21/cP2_{1}/c,14,Se (Ak) Structure
16,Li3N,2,4,hP4,,A3B_hP4_191_bc_a,P6/mmmP6/mmmP6/mmm,191,Li3N Structure
17,CClN,3,6,oP6,,ABC_oP6_59_a_a_a,PmmnPmmnPmmn,59,CNCl Structure
18,GeS,2,8,oP8,B16B16B16,AB_oP8_62_c_c,PnmaPnmaPnma,62,GeS (B16) Structure
19,O,1,2,mC4,,A_mC4_12_i,C2/mC2/mC2/m,12,αα\alpha–O Structure
20,FeSi,2,8,cP8,B20B20B20,AB_cP8_198_a_a,P213P213P2_{1}3,198,FeSi (B20) Structure
21,LiNbO3,3,10,hR10,,ABC3_hR10_161_a_a_b,R3cR3cR3c,161,Ferroelectric LiNbO3 Structure
22,Al2MgO4,3,14,cF56,H11H11H1_{1},A2BC4_cF56_227_d_a_e,Fdˉ3mFd3¯mFd\bar{3}m,227,"Spinel (Al2MgO4, H11) Structure"
23,OPb,2,4,tP4,B10B10B10,AB_tP4_129_a_c,P4/nmmP4/nmmP4/nmm,129,PbO (B10) Structure
24,CaCO3,3,10,hR10,G01G01G0_{1},ABC3_hR10_167_a_b_e,Rˉ3cR3¯cR\bar{3}c,167,"Calcite (CaCO3, G01) Structure"
25,FeB,2,8,oP8,B27B27B27,AB_oP8_62_c_c,PnmaPnmaPnma,62,FeB (B27) Structure
26,Al3Zr,2,8,tI16,D023D023D0_{23},A3B_tI16_139_cde_e,I4/mmmI4/mmmI4/mmm,139,Al3Zr (D023) Structure
27,AuTe2,2,3,mC6,C34C34C34,AB2_mC6_12_a_i,C2/mC2/mC2/m,12,"Calaverite (AuTe2, C34) Structure"
28,AsCuSiZr,4,8,tP8,,ABCD_tP8_129_c_b_a_c,P4/nmmP4/nmmP4/nmm,129,AsCuSiZr Structure
29,O2Si,2,12,mP12,,A2B_mP12_3_bc3e_2e,P2P2P2,3,SiO2 (P2) Structure
30,O2Ti,2,24,oP24,C21C21C21,A2B_oP24_61_2c_c,PbcaPbcaPbca,61,"Brookite (TiO2, C21) Structure"
31,CuTi,2,4,tP4,B11B11B11,AB_tP4_129_c_c,P4/nmmP4/nmmP4/nmm,129,γγ\gamma–CuTi (B11) Structure
32,O3Re,2,4,cP4,D09D09D0_{9},A3B_cP4_221_d_a,Pmˉ3mPm3¯mPm\bar{3}m,221,αα\alpha–ReO3 (D09) Structure
33,Si,1,34,cF136,,A_cF136_227_aeg,Fdˉ3mFd3¯mFd\bar{3}m,227,Si34 Clathrate Structure
34,AsCu3S4,3,16,oP16,H25H25H2_{5},AB3C4_oP16_31_a_ab_2ab,Pmn21Pmn21Pmn2_{1},31,"Enargite (AsCu3S4, H25) Structure"
35,Cu3S4V,3,8,cP8,H24H24H2_{4},A3B4C_cP8_215_d_e_a,Pˉ43mP4¯3mP\bar{4}3m,215,"Sulvanite (Cu3S4V, H24) Structure"
36,Cu3Ti,2,8,oP8,D0aD0aD0_{a},A3B_oP8_59_bf_a,PmmnPmmnPmmn,59,ββ\beta–TiCu3 (D0a) Structure
37,AsK3S4,3,32,oP32,,AB3C4_oP32_33_a_3a_4a,Pna21Pna21Pna2_{1},33,AsK3S4 Structure
38,C6Cr23,2,29,cF116,D84D84D8_{4},A6B23_cF116_225_e_acfh,Fmˉ3mFm3¯mFm\bar{3}m,225,Cr23C6 (D84) Structure
39,Fe7W6,2,13,hR13,D85D85D8_{5},A7B6_hR13_166_ah_3c,Rˉ3mR3¯mR\bar{3}m,166,Fe7W6 (D85) μμ\mu–phase
40,ReSi2,2,3,oI6,,AB2_oI6_71_a_i,ImmmImmmImmm,71,ReSi2 Structure
41,AgAsMg,3,3,cF12,C1bC1bC1_{b},ABC_cF12_216_b_c_a,Fˉ43mF4¯3mF\bar{4}3m,216,Half–Heusler (C1b) Structure
42,Sb2Tl7,2,27,cI54,L22L22L2_{2},A2B7_cI54_229_e_afh,Imˉ3mIm3¯mIm\bar{3}m,229,Sb2Tl7 (L22) Structure
43,Al5C3N,3,18,hP18,E94E94E9_{4},A5B3C_hP18_186_2a3b_2ab_b,P63mcP63mcP6_{3}mc,186,Al5C3N (E94) Structure
44,HgS,2,6,hP6,B9B9B9,AB_hP6_154_a_b,P3221P3221P3_{2}21,154,Cinnabar (B9) Structure
45,Al3Ti,2,4,tI8,D022D022D0_{22},A3B_tI8_139_bd_a,I4/mmmI4/mmmI4/mmm,139,Al3Ti (D022) Structure
46,C,1,4,tI8,,A_tI8_139_h,I4/mmmI4/mmmI4/mmm,139,Hypothetical Tetrahedrally Bonded Carbon with 4–Member Rings
